ROI,Subject,Effect, LocalizerSize,EffectSize
1,197_KAN_RHnonlit_07_PL2017,N, 37,0.997263
1,197_KAN_RHnonlit_07_PL2017,S-N, 37,3.008406
1,198_KAN_RHnonlit_08_PL2017,S, 37,2.558662
1,198_KAN_RHnonlit_08_PL2017,N, 37,1.661702
1,198_KAN_RHnonlit_08_PL2017,S-N, 37,0.896960
1,199_KAN_parametric_20_PL2017,S, 37,2.702456
1,199_KAN_parametric_20_PL2017,N, 37,0.616341
1,199_KAN_parametric_20_PL2017,S-N, 37,2.086115
1,200_KAN_parametric_21_PL2017,S, 37,2.173967
1,200_KAN_parametric_21_PL2017,N, 37,0.444833
1,200_KAN_parametric_21_PL2017,S-N, 37,1.729134
1,201_KAN_RHnonlit_11_PL2017,S, 37,2.142735
1,201_KAN_RHnonlit_11_PL2017,N, 37,1.035607
1,201_KAN_RHnonlit_11_PL2017,S-N, 37,1.107128
1,202_KAN_evDB_20131204_PL2017,S, 37,2.640263
1,202_KAN_evDB_20131204_PL2017,N, 37,-0.300438
1,202_KAN_evDB_20131204_PL2017,S-N, 37,2.940701
1,203_KAN_SpLoc_04_PL2017,S, 37,3.948990
1,203_KAN_SpLoc_04_PL2017,N, 37,-0.029291
1,203_KAN_SpLoc_04_PL2017,S-N, 37,3.978280
1,204_KAN_prodsemphon_06_PL2017,S, 37,0.199647
1,204_KAN_prodsemphon_06_PL2017,N, 37,-0.219367
1,204_KAN_prodsemphon_06_PL2017,S-N, 37,0.419014
1,205_KAN_evDB_20131216_PL2017,S, 37,1.770823
1,205_KAN_evDB_20131216_PL2017,N, 37,1.070950
1,205_KAN_evDB_20131216_PL2017,S-N, 37,0.699872
1,206_POLY07_20160425_3T2_PL2017,S, 37,0.662326
1,206_POLY07_20160425_3T2_PL2017,N, 37,-0.288977
1,206_POLY07_20160425_3T2_PL2017,S-N, 37,0.951302
1,206_KAN_evDB_20131218a_PL2017,S, 37,2.145000
1,206_KAN_evDB_20131218a_PL2017,N, 37,0.297892
1,206_KAN_evDB_20131218a_PL2017,S-N, 37,1.847108
1,207_KAN_evDB_20140113a_PL2017,S, 37,1.476907
1,207_KAN_evDB_20140113a_PL2017,N, 37,0.849736
1,207_KAN_evDB_20140113a_PL2017,S-N, 37,0.627171
1,208_KAN_EvDB_20150224a_PL2017,S, 37,4.257654
1,208_KAN_EvDB_20150224a_PL2017,N, 37,-0.029881
1,208_KAN_EvDB_20150224a_PL2017,S-N, 37,4.287535
1,208_KAN_evDB_20140121a_PL2017,S, 37,1.036943
1,208_KAN_evDB_20140121a_PL2017,N, 37,-0.128582
1,208_KAN_evDB_20140121a_PL2017,S-N, 37,1.165525
1,209_KAN_evDB_20140224_PL2017,S, 37,1.438201
1,209_KAN_evDB_20140224_PL2017,N, 37,0.239267
