ROI,Subject,Session/Partition,LocalizerSize
1,409_FED_20160728a_3T2_PL2017,1,37
1,410_FED_20160623b_3T2_PL2017,1,37
1,411_FED_20160624a_3T2_PL2017,1,37
1,412_FED_20160707a_3T1_PL2017,1,37
1,413_FED_20160707c_3T1_PL2017,1,37
1,414_FED_20160711b_3T1_PL2017,1,37
1,415_FED_20160714a_3T2_PL2017,1,37
1,416_FED_20160802a_3T1_PL2017,1,37
1,417_FED_20160803b_3T1_PL2017,1,37
1,417_FED_20161217c_3T2_PL2017,1,37
1,418_FED_20160803a_3T2_PL2017,1,37
1,419_FED_20160805a_3T1_PL2017,1,37
1,420_FED_20160805b_3T1_PL2017,1,37
1,421_FED_20160804b_3T1_PL2017,1,37
1,422_FED_20160816a_3T1_PL2017,1,37
1,423_FED_20160817c_3T1_PL2017,1,37
1,424_FED_20160930a_3T1_PL2017,1,37
1,424_FED_20161102b_3T1_PL2017,1,37
1,424_FED_20160817a_3T1_PL2017,1,37
1,425_FED_20160818b_3T1_PL2017,1,37
1,426_FED_20160823a_3T1_PL2017,1,37
1,426_FED_20160908d_3T1_PL2017,1,37
1,427_FED_20160823c_3T1_PL2017,1,37
1,428_FED_20160906a_3T2_PL2017,1,37
1,429_FED_20160906b_3T2_PL2017,1,37
1,430_FED_20160906d_3T2_PL2017,1,37
1,430_FED_20170110b_3T2_PL2017,1,37
1,430_FED_20170426d_3T2_PL2017,1,37
1,430_FED_20170614c_3T2_PL2017,1,37
1,430_FED_20170823a_3T2_PL2017,1,37
1,431_FED_20160907d_3T2_PL2017,1,37
1,432_FED_20160907a_3T2_PL2017,1,37
1,433_FED_20160908c_3T1_PL2017,1,37
1,434_FED_20160909c_3T2_PL2017,1,37
1,435_FED_20160909b_3T2_PL2017,1,37
1,436_FED_20160909d_3T2_PL2017,1,37
1,437_FED_20160929_3T1_PL2017,1,37
1,438_FED_20160929a_3T1_PL2017,1,37
1,439_POLY10_20160930_3T1_PL2017,1,37
1,440_FED_20160930_3T2_PL2017,1,37
1,441_FED_20161004a_3T1_PL2017,1,37
1,442_FED_20161004b_3T1_PL2017,1,37
1,443_FED_20170412_3T2_PL2017,1,37
1,443_FED_20161005_3T1_PL2017,1,37
1,444_FED_20161006_3T1_PL2017,1,37
1,445_FED_20161007_3T2_PL2017,1,37
1,446_FED_20161007_3T2_PL2017,1,37
1,447_FED_20161012a_3T2_PL2017,1,37
1,448_FED_20161012b_3T2_PL2017,1,37
1,449_FED_20161012c_3T2_PL2017,1,37
1,449_FED_20170201b_3T2_PL2017,1,37
1,450_FED_20161012_3T1_PL2017,1,37
1,451_FED_20161013_3T1_PL2017,1,37
1,452_POLY11_20161014_3T1_PL2017,1,37
1,453_FED_20161014_3T1_PL2017,1,37
1,454_FED_20161017_3T1_PL2017,1,37
1,455_FED_20161018_3T1_PL2017,1,37
