Session,Langloc_Version
385_POLY03_20160421_3T2_PL2017,langlocSN
386_FED_20160425d_3T1_PL2017,langlocSN
387_FED_20160425a_3T1_PL2017,langlocSN
388_FED_20160426b_3T1_PL2017,langlocSN
389_POLY02_20160425_3T1_PL2017,langlocSN
390_FED_20160428a_3T1_PL2017,langlocSN
391_FED_20160429a_3T2_PL2017,langlocSN
392_FED_20160504a_3T1_PL2017,langlocSN
393_FED_20160504b_3T2_PL2017,langlocSN
394_POLY08_20160505_3T1_PL2017,langlocSN
395_FED_20160506a_3T2_PL2017,langlocSN
396_POLY09_20160512_3T1_PL2017,langlocSN
397_FED_20160516a_3T1_PL2017,langlocSN
398_FED_20160516b_3T1_PL2017,langlocSN
399_FED_20160519d_3T1_PL2017,langlocSN
400_FED_20160520a_3T1_PL2017,langlocSN
401_FED_20160520d_3T1_PL2017,langlocSN
402_FED_20160526c_3T1_PL2017,langlocSN
403_FED_20160526b_3T1_PL2017,langlocSN
404_FED_20160527a_3T2_PL2017,langlocSN
405_FED_20160531a_3T1_PL2017,langlocSN
406_FED_20160601a_3T1_PL2017,langlocSN
407_FED_20160616a_3T2_PL2017,langlocSN
408_FED_20160617a_3T2_PL2017,langlocSN
409_FED_20160728a_3T2_PL2017,langlocSN
410_FED_20160623b_3T2_PL2017,langlocSN
411_FED_20160624a_3T2_PL2017,langlocSN
412_FED_20160707a_3T1_PL2017,langlocSN
413_FED_20160707c_3T1_PL2017,langlocSN
414_FED_20160711b_3T1_PL2017,langlocSN
415_FED_20160714a_3T2_PL2017,langlocSN
416_FED_20160802a_3T1_PL2017,langlocSN
418_FED_20160803a_3T2_PL2017,langlocSN
419_FED_20160805a_3T1_PL2017,langlocSN
420_FED_20160805b_3T1_PL2017,langlocSN
421_FED_20160804b_3T1_PL2017,langlocSN
422_FED_20160816a_3T1_PL2017,langlocSN
423_FED_20160817c_3T1_PL2017,langlocSN
424_FED_20160817a_3T1_PL2017,langlocSN
425_FED_20160818b_3T1_PL2017,langlocSN
426_FED_20160908d_3T1_PL2017,langlocSN
427_FED_20160823c_3T1_PL2017,langlocSN
428_FED_20160906a_3T2_PL2017,langlocSN
429_FED_20160906b_3T2_PL2017,langlocSN
430_FED_20170426d_3T2_PL2017,langlocSN
431_FED_20160907d_3T2_PL2017,langlocSN
432_FED_20160907a_3T2_PL2017,langlocSN
433_FED_20160908c_3T1_PL2017,langlocSN
434_FED_20160909c_3T2_PL2017,langlocSN
435_FED_20160909b_3T2_PL2017,langlocSN
436_FED_20160909d_3T2_PL2017,langlocSN
437_FED_20160929_3T1_PL2017,langlocSN
438_FED_20160929a_3T1_PL2017,langlocSN
439_POLY10_20160930_3T1_PL2017,langlocSN
440_AIW_Russian_20160930_M_3T2_PL2017,langlocSN
441_FED_20161004a_3T1_PL2017,langlocSN
442_FED_20161004b_3T1_PL2017,langlocSN
443_AIW_Farsi_20161005_M_3T1_PL2017,langlocSN
444_AIW_Italian_20161006_F_3T1_PL2017,langlocSN
445_AIW_Polish_20161007_F_3T2_PL2017,langlocSN
446_AIW_Polish_20161007_M_3T2_PL2017,langlocSN
448_FED_20161012b_3T2_PL2017,langlocSN
449_FED_20170201b_3T2_PL2017,langlocSN
450_AIW_Catalan_20161012_M_3T1_PL2017,langlocSN
451_AIW_Afrikaans_20161013_F_3T1_PL2017,langlocSN
452_POLY11_20161014_3T1_PL2017,langlocSN
453_AIW_Russian_20161014_F_3T1_PL2017,langlocSN
454_AIW_Armenian_20161017_M_3T1_PL2017,langlocSN
455_AIW_Afrikaans_20161018_M_3T1_PL2017,langlocSN
456_FED_20161019b_3T1_PL2017,langlocSN
457_AIW_German_20161020_M_3T2_PL2017,langlocSN
458_AIW_Vietnamese_20161021_M_3T2_PL2017,langlocSN
459_AIW_Portuguese_20161021_M_3T2_PL2017,langlocSN
460_AIW_Norwegian_20161025_F_3T1_PL2017,langlocSN
461_FED_20161025a_3T1_PL2017,langlocSN
462_AIW_French_20161026_M_3T1_PL2017,langlocSN
463_AIW_Dutch_20161026_F_3T1_PL2017,langlocSN
464_AIW_Catalan_20161028_F_3T2_PL2017,langlocSN
465_AIW_Japanese_20161027_M_3T1_PL2017,langlocSN
466_AIW_Korean_20161027_F_3T1_PL2017,langlocSN
467_AIW_Tamil_20161028_M_3T1_PL2017,langlocSN
468_AIW_Serbocroatian_20161031_F_3T1_PL2017,langlocSN
469_AIW_Norwegian_20161031_M_3T1_PL2017,langlocSN
470_AIW_Hindi_20161101_M_3T1_PL2017,langlocSN
471_AIW_Hungarian_20161101_M_3T1_PL2017,langlocSN
472_FED_20161101a_3T2_PL2017,langlocSN
473_FED_20190731a_3T2_PL2017,langlocSN
474_AIW_Vietnamese_20161102_F_3T1_PL2017,langlocSN
475_FED_20161103a_3T2_PL2017,langlocSN
477_AIW_Spanish_20161103_F_3T2_PL2017,langlocSN
478_AIW_Mandarin_20161103_F_3T2_PL2017,langlocSN
479_FED_20161104a_3T2_PL2017,langlocSN
480_AIW_French_20161104_F_3T1_PL2017,langlocSN
481_AIW_Dutch_20161107_M_3T1_PL2017,langlocSN
482_AIW_German_20161104_F_3T1_PL2017,langlocSN
484_AIW_Portuguese_20161108_F_3T1_PL2017,langlocSN
488_AIW_Korean_20161109_M_3T2_PL2017,langlocSN
489_FED_20161114d_3T1_PL2017,langlocSN
490_AIW_Ukrainian_20161115_F_3T1_PL2017,langlocSN
491_AIW_Mandarin_20161115_M_3T1_PL2017,langlocSN
492_AIW_English_20161116_M_3T2_PL2017,langlocSN
493_AIW_Armenian_20161117_F_3T1_PL2017,langlocSN
494_FED_20161114a_3T1_PL2017,langlocSN
495_AIW_Ukrainian_20161114_M_3T2_PL2017,langlocSN
496_AIW_Greek_20161118_M_3T1_PL2017,langlocSN
497_AIW_Spanish_20161118_M_3T1_PL2017,langlocSN
498_FED_20161121a_3T1_PL2017,langlocSN
499_FED_20161121b_3T1_PL2017,langlocSN
500_AIW_Tamil_20161121_F_3T1_PL2017,langlocSN
501_AIW_Romanian_20161122_F_3T1_PL2017,langlocSN
502_AIW_English_20161122_F_3T1_PL2017,langlocSN
503_AIW_Slovene_20161128_F_3T2_PL2017,langlocSN
504_AIW_Hindi_20161130_F_3T2_PL2017,langlocSN
505_FED_20161204_3T2_PL2017,langlocSN
506_AIW_Hebrew_20161205_F_3T2_PL2017,langlocSN
507_AIW_Danish_20161207_F_3T2_PL2017,langlocSN
508_AIW_Danish_20161208_M_3T2_PL2017,langlocSN
509_AIW_Romanian_20161208_M_3T2_PL2017,langlocSN
510_AIW_Turkish_20161212_F_3T2_PL2017,langlocSN
511_POLY12_20161212_3T2_PL2017,langlocSN
512_AIW_Japanese_20161213_F_3T2_PL2017,langlocSN
513_AIW_Bulgarian_20161215_F_3T2_PL2017,langlocSN
514_AIW_Swedish_20161215_M_3T2_PL2017,langlocSN
515_AIW_Nepali_20161216_F_3T2_PL2017,langlocSN
517_AIW_Bulgarian_20161219_M_3T2_PL2017,langlocSN
518_AIW_Hungarian_20161219_F_3T2_PL2017,langlocSN
519_AIW_Nepali_20161220_M_3T2_PL2017,langlocSN
520_FED_20161227a_3T2_PL2017,langlocSN
521_FED_20161228a_3T2_PL2017,langlocSN
522_FED_20161228e_3T2_PL2017,langlocSN
523_FED_20161227b_3T2_PL2017,langlocSN
524_FED_20170105a_3T2_PL2017,langlocSN
525_FED_20170109a_3T2_PL2017,langlocSN
526_FED_20170111a_3T2_PL2017,langlocSN
527_FED_20170113a_3T2_PL2017,langlocSN
528_FED_20170116a_3T2_PL2017,langlocSN
529_FED_20170116b_3T2_PL2017,langlocSN
530_FED_20170114a_3T2_PL2017,langlocSN
531_FED_20170117a_3T2_PL2017,langlocSN
532_FED_20170118b_3T2_PL2017,langlocSN
533_AIW_Turkish_20170119_M_3T2_PL2017,langlocSN
534_FED_20170119b_3T2_PL2017,langlocSN
535_FED_20170123b_3T2_PL2017,langlocSN
536_FED_20170125a_3T2_PL2017,langlocSN
537_FED_20170126b_3T2_PL2017,langlocSN
538_AIW_Russian_20170127_F_3T2_PL2017,langlocSN
539_FED_20170127a_3T2_PL2017,langlocSN
540_FED_20170201a_3T2_PL2017,langlocSN
541_FED_20170203b_3T2_PL2017,langlocSN
542_AIW_Swedish_20170207_F_3T2_PL2017,langlocSN
543_AIW_Belarusian_20170206_M_3T2_PL2017,langlocSN
544_AIW_Arabic_20170210_M_3T2_PL2017,langlocSN
545_FED_20170217c_3T2_PL2017,langlocSN
546_AIW_Serbocroatian_20170223_M_3T2_PL2017,langlocSN
547_AIW_Spanish_20170222_F_3T2_PL2017,langlocSN
548_AIW_Greek_20170227_F_3T2_PL2017,langlocSN
549_FED_20170228a_3T2_PL2017,langlocSN
550_FED_20170228c_3T2_PL2017,langlocSN
551_FED_20170302b_3T2_PL2017,langlocSN
552_FED_20170307a_3T2_PL2017,langlocSN
553_FED_20170313d_3T2_PL2017,langlocSN
554_FED_20170315a_3T2_PL2017,langlocSN
555_FED_20170426c_3T2_PL2017,langlocSN
556_FED_20170316b_3T2_PL2017,langlocSN
557_FED_20170317a_3T2_PL2017,langlocSN
558_FED_20170320a_3T2_PL2017,langlocSN
559_FED_20170320c_3T2_PL2017,langlocSN
561_AIW_Arabic_20170327_F_3T2_PL2017,langlocSN
562_FED_20170327b_3T2_PL2017,langlocSN
563_FED_20170327c_3T2_PL2017,langlocSN
564_AIW_Japanese_20170406_M_3T2_PL2017,langlocSN
565_AIW_Lithuanian_20170406_F_3T2_PL2017,langlocSN
566_FED_20170407a_3T2_PL2017,langlocSN
567_FED_20170407b_3T2_PL2017,langlocSN
568_FED_20170407c_3T2_PL2017,langlocSN
569_FED_20170410b_3T2_PL2017,langlocSN
570_AIW_Vietnamese_20170410_F_3T2_PL2017,langlocSN
571_FED_20170412c_3T2_PL2017,langlocSN
572_FED_20170413a_3T2_PL2017,langlocSN
573_FED_20170413b_3T2_PL2017,langlocSN
574_FED_20170413c_3T2_PL2017,langlocSN
575_FED_20170414a_3T2_PL2017,langlocSN
576_FED_20171006a_3T2_PL2017,langlocSN
577_FED_20170414c_3T2_PL2017,langlocSN
578_FED_20170831c_3T2_PL2017,langlocSN
579_AIW_Lithuanian_20170418_M_3T2_PL2017,langlocSN
580_AIW_Tagalog_20170418_M_3T2_PL2017,langlocSN
581_AIW_Nepali_20170418_M_3T2_PL2017,langlocSN
582_FED_20170420a_3T2_PL2017,langlocSN
583_FED_20170720d_3T2_PL2017,langlocSN
584_FED_20170421a_3T2_PL2017,langlocSN
585_FED_20170329a_3T2_PL2017,langlocSN
586_FED_20170331b_3T2_PL2017,langlocSN
587_FED_20170423a_3T2_PL2017,langlocSN
588_FED_20170422c_3T2_PL2017,langlocSN
589_FED_20170422a_3T2_PL2017,langlocSN
590_FED_20170422b_3T2_PL2017,langlocSN
591_FED_20170422d_3T2_PL2017,langlocSN
592_FED_20170423b_3T2_PL2017,langlocSN
593_FED_20170423c_3T2_PL2017,langlocSN
594_FED_20170423d_3T2_PL2017,langlocSN
595_FED_20170425b_3T2_PL2017,langlocSN
596_FED_20170426b_3T2_PL2017,langlocSN
597_FED_20170427a_3T2_PL2017,langlocSN
598_FED_20170428a_3T2_PL2017,langlocSN
599_FED_20170427c_3T2_PL2017,langlocSN
600_FED_20170428b_3T2_PL2017,langlocSN
601_FED_20170501a_3T2_PL2017,langlocSN
603_FED_20170502a_3T2_PL2017,langlocSN
607_FED_20170517a_3T2_PL2017,langlocSN
608_FED_20170518a_3T2_PL2017,langlocSN
609_FED_20170523c_3T2_PL2017,langlocSN
610_FED_20170523a_3T2_PL2017,langlocSN
611_AIW_Belarusian_20170524_F_3T2_PL2017,langlocSN
613_FED_20170526a_3T2_PL2017,langlocSN
614_FED_20170525a_3T2_PL2017,langlocSN
617_AIW_Farsi_20170605_F_3T2_PL2017,langlocSN
619_AIW_Finnish_20170613_M_3T2_PL2017,langlocSN
620_AIW_Irish_20170613_M_3T2_PL2017,langlocSN
624_FED_20170619b_3T2_PL2017,langlocSN
625_FED_20170619a_3T2_PL2017,langlocSN
626_FED_20170619c_3T2_PL2017,langlocSN
627_FED_20170620a_3T2_PL2017,langlocSN
628_AIW_Basque_20170620_F_3T2_PL2017,langlocSN
629_FED_20171215a_3T2_PL2017,langlocSN
630_FED_20170621c_3T2_PL2017,langlocSN
632_FED_20170825a_3T2_PL2017,langlocSN
633_FED_20170626a_3T2_PL2017,langlocSN
634_AIW_Latvian_20170626_F_3T2_PL2017,langlocSN
635_AIW_Latvian_20170627_M_3T2_PL2017,langlocSN
636_FED_20170628b_3T2_PL2017,langlocSN
637_FED_20170628c_3T2_PL2017,langlocSN
638_AIW_Czech_20170628_F_3T2_PL2017,langlocSN
640_FED_20170629c_3T2_PL2017,langlocSN
641_FED_20170629b_3T2_PL2017,langlocSN
642_FED_20170629a_3T2_PL2017,langlocSN
643_FED_20170630c_3T2_PL2017,langlocSN
645_FED_20170630e_3T2_PL2017,langlocSN
647_AIW_Czech_20170705_M_3T2_PL2017,langlocSN
648_AIW_Finnish_20170707_F_3T2_PL2017,langlocSN
649_FED_20170710c_3T2_PL2017,langlocSN
654_Princeton_SUB01_20150903-0903-1536_PL2017,langlocSN
655_FED_20170724a_3T2_PL2017,langlocSN
656_FED_20170724c_3T2_PL2017,langlocSN
657_POLY18_20170724b_3T2_PL2017,langlocSN
658_FED_20170725d_3T2_PL2017,langlocSN
659_FED_20170726d_3T2_PL2017,langlocSN
660_FED_20170728c_3T2_PL2017,langlocSN
661_FED_20170731b_3T2_PL2017,langlocSN
662_FED_20170803b_3T2_PL2017,langlocSN
663_POLY19_20170803c_3T2_PL2017,langlocSN
664_FED_20170816a_3T2_PL2017,langlocSN
665_FED_20170828b_3T2_PL2017,langlocSN
667_FED_20170831a_3T2_PL2017,langlocSN
668_POLY20_20170928a_3T2_PL2017,langlocSN
669_FED_20171108a_3T2_PL2017,langlocSN
670_FED_20171208a_3T2_PL2017,langlocSN
671_FED_20190625a_3T2_PL2017,langlocSN
672_FED_20180702a_3T2_PL2017,langlocSN
677_FED_20180729a_3T2_PL2017,langlocSN
678_FED_20180730a_3T2_PL2017,langlocSN
679_FED_20180730c_3T2_PL2017,langlocSN
680_FED_20180802b_3T2_PL2017,langlocSN
681_FED_20180803a_3T2_PL2017,langlocSN
682_FED_20190426a_3T2_PL2017,langlocSN
683_FED_20180803c_3T2_PL2017,langlocSN
684_FED_20180803d_3T2_PL2017,langlocSN
685_FED_20180808a_3T2_PL2017,langlocSN
686_FED_20180809a_3T2_PL2017,langlocSN
687_FED_20180809b_3T2_PL2017,langlocSN
688_FED_20180914a_3T2_PL2017,langlocSN
689_FED_20181010a_3T2_PL2017,langlocSN
690_FED_20181012a_3T2_PL2017,langlocSN
691_FED_20181018a_3T2_PL2017,langlocSN
692_FED_20181018b_3T2_PL2017,langlocSN
693_FED_20181029a_3T2_PL2017,langlocSN
694_FED_20181101a_3T2_PL2017,langlocSN
695_FED_20181113a_3T2_PL2017,langlocSN
696_FED_20181115a_3T2_PL2017,langlocSN
697_FED_20181119a_3T2_PL2017,langlocSN
698_FED_20181129a_3T2_PL2017,langlocSN
699_FED_20181129b_3T2_PL2017,langlocSN
700_FED_20181128a_3T2_PL2017,langlocSN
701_POLY21_20181212a_3T2_PL2017,langlocSN
702_FED_20181214a_3T2_PL2017,langlocSN
703_FED_20181221a_3T2_PL2017,langlocSN
