ROI,Subject,Effect, LocalizerSize,EffectSize
1,301_FED_20150708c_3T2_PL2017,N, 37,-0.142080
1,302_FED_20150709a_3T2_PL2017,S, 37,-0.194346
1,302_FED_20150709a_3T2_PL2017,N, 37,-0.159186
1,303_FED_20150709c_3T2_PL2017,S, 37,0.663112
1,303_FED_20150709c_3T2_PL2017,N, 37,-0.204143
1,304_FED_20150710a_3T2_PL2017,S, 37,2.903422
1,304_FED_20150710a_3T2_PL2017,N, 37,1.652586
1,305_FED_20150710b_3T2_PL2017,S, 37,0.759251
1,305_FED_20150710b_3T2_PL2017,N, 37,0.033171
1,306_FED_20150715a_3T2_PL2017,S, 37,1.446027
1,306_FED_20150715a_3T2_PL2017,N, 37,0.786308
