subject,index,weight,i,j,k,x(mm),y(mm),z(mm)
43,282938,0.7500,19,58,29,54,-12,-16
43,282992,0.2500,73,58,29,-54,-12,-16
43,283027,0.5000,17,59,29,58,-10,-16
43,283028,1.0000,18,59,29,56,-10,-16
43,283029,1.0000,19,59,29,54,-10,-16
43,283081,0.2500,71,59,29,-50,-10,-16
43,283082,1.0000,72,59,29,-52,-10,-16
43,283083,0.5000,73,59,29,-54,-10,-16
43,283119,0.7500,18,60,29,56,-8,-16
43,283120,0.5000,19,60,29,54,-8,-16
43,283172,0.5000,71,60,29,-50,-8,-16
43,283173,1.0000,72,60,29,-52,-8,-16
43,283174,0.5000,73,60,29,-54,-8,-16
43,283262,0.2500,70,61,29,-48,-6,-16
43,283263,0.2500,71,61,29,-50,-6,-16
43,283264,0.2500,72,61,29,-52,-6,-16
43,283265,0.2500,73,61,29,-54,-6,-16
43,283299,0.2500,16,62,29,60,-4,-16
43,283300,0.2500,17,62,29,58,-4,-16
43,283301,0.2500,18,62,29,56,-4,-16
43,283303,0.2500,20,62,29,52,-4,-16
43,283353,0.2500,70,62,29,-48,-4,-16
43,283354,0.2500,71,62,29,-50,-4,-16
43,283391,0.2500,17,63,29,58,-2,-16
43,283392,0.5000,18,63,29,56,-2,-16
43,283393,0.7500,19,63,29,54,-2,-16
43,283394,0.5000,20,63,29,52,-2,-16
43,283483,0.2500,18,64,29,56,0,-16
43,283484,0.5000,19,64,29,54,0,-16
43,283485,0.5000,20,64,29,52,0,-16
43,283575,0.2500,19,65,29,54,2,-16
43,283576,0.5000,20,65,29,52,2,-16
43,283666,0.7500,19,66,29,54,4,-16
43,283667,1.0000,20,66,29,52,4,-16
43,283757,1.0000,19,67,29,54,6,-16
43,283758,1.0000,20,67,29,52,6,-16
43,283759,0.2500,21,67,29,50,6,-16
43,283849,0.2500,20,68,29,52,8,-16
43,283850,0.2500,21,68,29,50,8,-16
43,283903,0.2500,74,68,29,-56,8,-16
43,283942,0.2500,22,69,29,48,10,-16
43,283990,0.2500,70,69,29,-48,10,-16
43,284081,0.2500,70,70,29,-48,12,-16
43,284121,0.2500,19,71,29,54,14,-16
43,284122,0.2500,20,71,29,52,14,-16
43,284213,0.5000,20,72,29,52,16,-16
43,292401,0.5000,18,53,30,56,-22,-14
43,292402,0.5000,19,53,30,54,-22,-14
43,292453,0.2500,70,53,30,-48,-22,-14
43,292454,0.2500,71,53,30,-50,-22,-14
43,292458,0.2500,75,53,30,-58,-22,-14
43,292492,0.2500,18,54,30,56,-20,-14
43,292493,0.2500,19,54,30,54,-20,-14
43,292544,0.5000,70,54,30,-48,-20,-14
43,292545,0.5000,71,54,30,-50,-20,-14
43,292546,0.2500,72,54,30,-52,-20,-14
43,292586,0.2500,21,55,30,50,-18,-14
43,292587,0.2500,22,55,30,48,-18,-14
43,292588,0.2500,23,55,30,46,-18,-14
43,292633,0.2500,68,55,30,-44,-18,-14
43,292634,0.5000,69,55,30,-46,-18,-14
43,292635,0.5000,70,55,30,-48,-18,-14
43,292636,0.5000,71,55,30,-50,-18,-14
43,292673,0.2500,17,56,30,58,-16,-14
43,292678,0.2500,22,56,30,48,-16,-14
43,292679,0.2500,23,56,30,46,-16,-14
43,292726,0.5000,70,56,30,-48,-16,-14
43,292727,0.2500,71,56,30,-50,-16,-14
43,292763,0.2500,16,57,30,60,-14,-14
43,292764,0.2500,17,57,30,58,-14,-14
43,292855,0.5000,17,58,30,58,-12,-14
43,292856,0.7500,18,58,30,56,-12,-14
43,292857,0.2500,19,58,30,54,-12,-14
43,292911,0.2500,73,58,30,-54,-12,-14
43,292912,0.2500,74,58,30,-56,-12,-14
43,292913,0.2500,75,58,30,-58,-12,-14
43,292946,0.7500,17,59,30,58,-10,-14
43,292947,1.0000,18,59,30,56,-10,-14
43,292948,0.5000,19,59,30,54,-10,-14
43,293001,0.2500,72,59,30,-52,-10,-14
43,293002,0.7500,73,59,30,-54,-10,-14
43,293003,0.5000,74,59,30,-56,-10,-14
43,293004,0.2500,75,59,30,-58,-10,-14
43,293038,0.5000,18,60,30,56,-8,-14
43,293091,0.2500,71,60,30,-50,-8,-14
43,293092,1.0000,72,60,30,-52,-8,-14
43,293093,1.0000,73,60,30,-54,-8,-14
43,293094,0.2500,74,60,30,-56,-8,-14
43,293128,0.2500,17,61,30,58,-6,-14
43,293181,0.2500,70,61,30,-48,-6,-14
43,293182,0.7500,71,61,30,-50,-6,-14
43,293183,1.0000,72,61,30,-52,-6,-14
43,293184,1.0000,73,61,30,-54,-6,-14
43,293185,0.2500,74,61,30,-56,-6,-14
43,293218,0.2500,16,62,30,60,-4,-14
43,293219,0.2500,17,62,30,58,-4,-14
43,293220,0.2500,18,62,30,56,-4,-14
43,293272,0.5000,70,62,30,-48,-4,-14
43,293273,0.7500,71,62,30,-50,-4,-14
43,293274,0.5000,72,62,30,-52,-4,-14
43,293275,0.2500,73,62,30,-54,-4,-14
43,293309,0.5000,16,63,30,60,-2,-14
43,293310,0.5000,17,63,30,58,-2,-14
43,293313,0.2500,20,63,30,52,-2,-14
43,293364,0.2500,71,63,30,-50,-2,-14
43,293404,0.2500,20,64,30,52,0,-14
43,293495,0.2500,20,65,30,52,2,-14
43,293585,0.2500,19,66,30,54,4,-14
43,293586,0.7500,20,66,30,52,4,-14
43,293676,0.5000,19,67,30,54,6,-14
43,293677,1.0000,20,67,30,52,6,-14
43,293768,0.2500,20,68,30,52,8,-14
43,293822,0.5000,74,68,30,-56,8,-14
43,293909,0.2500,70,69,30,-48,10,-14
43,293912,0.2500,73,69,30,-54,10,-14
43,293913,0.7500,74,69,30,-56,10,-14
43,294000,0.2500,70,70,30,-48,12,-14
43,294003,0.2500,73,70,30,-54,12,-14
43,294040,0.5000,19,71,30,54,14,-14
43,294041,0.2500,20,71,30,52,14,-14
43,294093,0.2500,72,71,30,-52,14,-14
43,294132,0.5000,20,72,30,52,16,-14
43,294133,0.2500,21,72,30,50,16,-14
43,294408,0.2500,23,75,30,46,22,-14
43,294409,0.5000,24,75,30,44,22,-14
43,294499,0.2500,23,76,30,46,24,-14
43,294500,0.7500,24,76,30,44,24,-14
43,294501,0.5000,25,76,30,42,24,-14
